,character_name,dialogue,polarity
76,banana guard," I got your milk, sir!",0.0
77,banana guard, It's them!,0.0
78,banana guard, Whoa.,0.0
79,banana guard,  Long live the king!,0.0
80,banana guard,[' Long live the king!'],0.0
81,banana guard,"  Hey, Finn!",0.0
82,banana guard,  Nothing!,0.0
83,banana guard,  Show you what?,0.0
84,banana guard,  We didn't say nothin'!,0.0
85,banana guard,"  Yeah, yeah. We've heard that before. C'mon robber!",-0.126
86,banana guard, ,0.0
87,banana guard," Your highness. Greetings, your majesty.",0.4215
88,banana guard, Go! Go! Go! Go! ,0.0
89,banana guard," CHARGE! ,  WEEWOOWEEWOO! ,  CHARGE! ",0.0
90,banana guard," Hey, you hit me!",0.0
91,banana guard, Ooooh!,0.0
92,banana guard, Gotcha!,0.0
93,banana guard," Okay! Weeoo weeoo weeoo weeoo... ,  Ah! Can't fight! ",0.6072
94,banana guard, Wee-Ooo! Wee-Ooo! Wee-Ooo! Wee-Ooo!,0.0
95,banana guard,,0.0
96,banana guard,,0.0
97,banana guard," Princess, we came back to help! ,  Eee! Help us, princess!",0.7412
98,banana guard,"  C'mon, man! That last game wasn't fair.",-0.308
99,banana guard,"  Okay, this game breaks the tie.",0.2263
100,banana guard,  Last game.,0.0
101,banana guard,"  Whew! You sure know how to party, Davey! ",0.6792
102,banana guard,  No no no!,-0.7088
103,banana guard,"  Yeah, there goes Davey and the criminal.",-0.296
104,banana guard,  How about: Who can hold up their hand the longest?,0.4939
105,banana guard,  Okay.,0.2263
106,banana guard,  Last game.,0.0
107,banana guard,"  Hm? Oh, hey Davey.",0.0
108,banana guard,"  Hm? ,  What's going on?",0.0
109,banana guard,  Umm... yeah... sure. I do feel kinda dirty.,-0.079
110,banana guard,[' Yes yes yes!'],0.69
111,banana guard," Here's your meal, criminal. We feed our criminals. ,  Hey, stop!",-0.8622
112,banana guard,"  Hey, there they go!",0.0
113,banana guard,[' Thanks!'],0.0
114,banana guard," You're preachin' to the preacher, brother.",0.0
115,banana guard," What? Am I—oh, hi! Um, longtime listener, first-time caller. So, uh, I think Princess Bubblegum has been replaced by, like, a lizard person.",0.4199
116,banana guard," Up we go. ,  In position, ma'am. Code name, ""Father's Brother"", appears testy.",0.0
117,banana guard," Boy, this place could use a scarecrow.",-0.2023
118,banana guard, Banana Guard speaking.,0.0
119,banana guard," Huh, how can twenty-five guys look like one guy? You mean they're viginti-quintuplets?",0.4329
120,banana guard, How did that happen?,0.0
121,banana guard, Where they'd go?,0.0
122,banana guard, I'm the leader.,0.0
123,banana guard," Hey guys, it's the picture of one of the perpetrators. Take a good look.",0.2263
124,banana guard, I need to see the other twenty-four pictures.,0.0
125,banana guard, What? How can one picture identify twenty-five perpetrators?,-0.3313
126,banana guard," Oh okay, I see. There's twenty-five of them! They all look like this guy!",0.6103
127,banana guard, You mean they're viginti-quintuplets?,0.0
128,banana guard, What are clones?,0.0
129,banana guard, I love long stories.,0.6369
130,banana guard, And they're not brothers?,0.0
131,banana guard," Hey you, stop!",-0.3595
132,banana guard, Have you seen this guy?,0.0
133,banana guard," You two stop too! ,  Show them the picture!",-0.4184
134,banana guard, Have you guys seen this guy?,0.0
135,banana guard, Let me see that picture again.,0.0
136,banana guard," Hmm... Hmm... ,  What's your name?",0.0
137,banana guard, What's your name?,0.0
138,banana guard, You're all named James. Is it because you guys look alike?,0.0
139,banana guard," Y'know, I was telling this to the guys... If, if we look alike, we should have the same name. It would just make it a little easier. Life, that is. It would make our life a little easier. ,  Aah... Give me a second... ,  Same name... Look alike... You really look alike... Brothers! You're all brothers?",0.6492
140,banana guard," One, two, three, four, five, six, seven-",0.0
141,banana guard," Hmm... Twenty-five... Not brothers... ,  I think these are the twenty-five that are not brothers. ,  Perpetrators! Get to them! ",0.3235
142,banana guard, Uh... what?,0.0
143,banana guard, Louder! Push it hard!,-0.2462
144,banana guard," Alright soldiers, time to shred those pipes! I wanna hear you scream!",-0.3147
145,susan strong, Suhhhn... Ow la koo sow suhn. ,0.0
146,susan strong, Suuhh... suhhhn... ,0.0
147,susan strong, Huh?,0.0
148,susan strong, Aah! AAH!!,0.0
149,susan strong," Graaaahhhss... ,  Huh... huh... huh. ",0.0
150,susan strong, Hahahahahahahaha! Two be cah reh ss... buh a thuh ahp fer ger... ss.,0.0
151,susan strong, YEEH!! ITSA PA TUH MUP!,0.0
152,susan strong, Ohhhh. ,0.0
153,susan strong, Manee mah nuhp lehp!,0.0
154,susan strong,[' Jus a rah. '],0.0
155,susan strong," Hm, hah, prety go-ah-suh pattah! ",0.0
156,susan strong,[' MMMM!! Ohhh... Tha is goo!! '],0.0
157,susan strong, CAAANDY KING-DOOOM!,0.0
158,susan strong, Finn!,0.0
159,susan strong," Finn, where's all the candy yuh werp talk ah bout?! ",0.0
160,susan strong, CANDY! CANDY! ,0.0
161,susan strong, Ohh-ho. ,0.0
162,susan strong," Mmm! ,  Now, I gonna get friends. We eat all of Candy Kingdom.",0.5255
163,susan strong," Oh. No, no, no, no, no. We won't eat red stripe man. Only everyone else. ,  Bye!",-0.8516
164,susan strong, Just grass!,0.0
165,susan strong, Wah!! Just shadows!,0.0
166,susan strong, DUCK!!,0.0
167,susan strong,"  Finn, help Susan.",0.4019
168,susan strong,  I need your hero heart and your magic.,0.5574
169,susan strong,[' Magic of red flower.'],0.0
170,susan strong,"  Long ago, my people live in Beautopia... but driven out by Lub Glubs. We come here. We too scared to fight back. This why we need your hero heart. Hyoomans! ,  I'll be back!",-0.4468
171,susan strong,  Come on. We swim there.,0.0
172,susan strong,[' We go.'],0.0
173,susan strong," You no gills. ,  We take boat.",-0.296
174,susan strong,  There. ,0.0
175,susan strong,  Keeps looking for Lub Glubs.,0.0
176,susan strong,[' No move!'],-0.3595
177,susan strong,"  Whew, we safe now. ",0.4404
178,susan strong,  Getting close to the Lub Glubs' mash-'em-ups.,0.0
179,susan strong,  Behold!,0.0
180,susan strong,  The clashing gates!,0.0
181,susan strong,"["" 'S okay. Susan know when is safe to pass through.""]",0.5859
182,susan strong,  Go... now!,0.0
183,susan strong,"  Oh, good. Still got some boat left.",0.4404
184,susan strong,  Hmm... never made this far before. Just gotta get past Lub Glubs.,0.0
185,susan strong,"  They... umm, look, they like this. ",0.3612
186,susan strong,  Yes. Lub Glubs crazy scary. Hyoomans scared so long. Even Susan. That why glad I meet you. You have brave heart. ,0.1531
187,susan strong,[' We here? We at B-Beautopia! '],0.0
188,susan strong,  We's be alls good once bring red flower to city heart.,0.4404
189,susan strong,  Lub Glubs! They coming!,0.0
190,susan strong,[' Shh! Shh! Too many Lub Glubs to fight!'],0.0
191,susan strong," Susan scared... but Susan brave, too. ,  SUUSSSAAANN!!!!! ",0.7762
192,susan strong,[' Finn! Jake!'],0.0
193,susan strong,  Red flower! Throw it to city heart!,0.0
194,susan strong,[' Hmm.'],0.0
195,susan strong,"  Finn, you stay.",0.0
196,susan strong," Hmph. ,  Go away, robots!",0.0
197,susan strong, Baby.,0.0
198,susan strong," Oh, dang! ",0.0
199,susan strong,,0.0
200,susan strong, Baby.,0.0
201,susan strong,,0.0
202,susan strong, Hmm?,0.0
203,susan strong," Hmm? ,  Cheryl. ,  Where's baby? Cheryl better talk. ",0.504
204,susan strong, Baby!,0.0
205,susan strong," No! ,  This is fake style bubblehead. Cheryl trying to trick us!",-0.7256
206,susan strong, Baby! That hole too small for Susan.,0.0
207,susan strong," If Sally say so... ,  Hup! Hyah!",0.0
208,susan strong," You two, follow baby cries.",-0.4019
209,susan strong," Susan will find other way. Hmm? ,  Hmm... ",0.0
210,susan strong, Uh.,0.0
211,susan strong, Baby!,0.0
212,susan strong, Now you tell Susan where you take baby or I'm—,0.0
213,susan strong, Baby.,0.0
214,susan strong, Susan is camouflaged.,0.0
215,susan strong, Why is Susan in this line? Susan didn't think this through.,0.0
216,susan strong, Susan needs no fizz! Susan have hero heart!,0.4559
217,susan strong, Ugh. It's sticky.,-0.4215
218,susan strong, You a good doggy? You know where baby is? Doggy help Susan?,0.7303
219,susan strong, No!,-0.3595
220,susan strong," Tsk, tsk, tsk.",0.0
221,susan strong," Baby! Hold on, baby!",0.0
222,susan strong, Susan hates Cheryl!,-0.4926
223,susan strong, Yes. Susan is the dingus. Now gimme the baby!,0.4574
224,susan strong, Don't drink that.,0.0
225,susan strong, Stop!,-0.3595
226,susan strong," Yes, I am Cheryl. ",0.4019
227,susan strong," And Cheryl says this is what we do now. Back to work! Everybody, destroy the factory!",-0.6229
228,susan strong," No, Cheryl. Susan will not enjoy!",-0.6273
229,susan strong, No. It fake juice. Tough-guy hyoomans do not drink fake juice.,-0.8126
230,susan strong," Eh?! Baby! ,  Baby!",0.0
231,cake,"  What are these boogers for, anyway?",0.0
232,cake,"  Fionna, we got trouble! My tail is totally frizzin' out!",-0.508
233,cake,  We'd love to!,0.6696
234,cake,"["" Yes, we'll be there!""]",0.4574
235,cake,"  Oh, it's a date!",0.0
236,cake,"  Shut up, he's into you!",0.0
237,cake,"  Well, that could change tonight.",0.2732
238,cake,"  I'm coming to help you! Hold on, I'm bringing my dulcimer.",0.4574
239,cake,  It's a conversation starter. ,0.0
240,cake,"  No! No retreat, girl.",-0.4389
241,cake,"  Hiya, gorgeous.",0.6124
242,cake,  Catnip! Sweet babies! ,0.555
243,cake,"["" Psst, Fi, tell Gumball that you think he's hot.""]",0.0
244,cake,"["" Guys like to hear that they're hot!""]",0.4199
245,cake,"  After him, Fionna. After your man. ",0.0
246,cake,  Why are y'all breathless if we're the ones running?,0.0
247,cake,  See you back at the tree house. ,0.0
248,cake,  I know! I was there for that part!,0.0
249,cake,"  Oh, my goodness! It's almost seven! You need something to wear! Oh, hold on honey, I am gonna make this happen!",0.6331
250,cake,  It's a ball! You don't need weapons!,0.457
251,cake,"  Okay! Lets go, go, go!",0.3578
252,cake,"  Okay, girl! I'll see you later!",0.3578
253,cake,  Fionna!,0.0
254,cake,"  WHAT'S GOING ON IN HE— ,  AAAHH! Don't you touch her! ",0.0
255,cake,  Ha ha! I'm a queen! ,0.658
256,cake,"  Me, too. Ice King's the real deal!",0.0
257,cake,"  Good job, girl! Have some spaghetti!",0.5399
258,cake,  That's not a book! It's a bomb!,0.4959
259,cake,"  Aww, what a sweetie!",0.5411
260,cake,"  Hop on, baby!",0.0
261,cake,"  Ooh, nice throw!",0.4753
262,cake,  What about Gumball's mission we went on this morning? Delivering daisy chains to the fluffy people not enough for you?,0.0
263,cake,  I'm not going out there! It's wet.,0.0
264,cake,[' Fionna!'],0.0
265,cake,"  ♫ Oh, oh! ,  I got a hot potata! And I gots two hot tomatas! Well they'll make a good sauce maybe... ♫",0.7074
266,cake,['\xa0♫ ... on the table... the table... for as long as I am able! ♫'],0.0
267,cake,"  Hey, break it up, you too!!",0.0
268,cake,  Yeah...,0.0
269,cake,"  Uh-uh boy, what are you thinking?",0.0
270,cake,  Fionna!,0.0
271,cake,  Grab onto my little paws!,0.0
272,cake,"  Oh, goodness!",0.5093
273,cake, Ya!,0.0
274,cake, Ha! Dance you puppets!,0.4559
275,cake, How'd he know your name?,0.0
276,cake, Y'all seeing those big floaty faces?,0.0
277,cake," Yeah, whatever.",0.296
278,cake, Haha! Cake's helping!,0.6988
279,cake,  Give us the Enchiridion!,0.0
280,cake," Yes, your hotness!",0.4574
281,tiffany,"["" Jake's MY best friend now! FOREVER!""]",0.8395
282,tiffany,[' No! Jake will be mine!'],-0.4184
283,tiffany,"  You'll never defeat me! I will! Be Jake's best friend! Because I'm! Tiffanyyyy ,  Ahhhhhh!",0.9011
284,tiffany," Well, well. From the shadows of dream, the dog wakes to find its—ugh—, —the dog wakes to find its mangy tail flopping in the dust like a fish in a tree. That fish is me! Tiffany! ,  I'm coming Jake, I'm coming!",0.8213
285,tiffany," Never mind that, the real question is what's that slo-mo Finn know about this?",0.0
286,tiffany," Can't ya see guys, he's desperate! Somebody got to him 'cause he's soft now.",-0.3802
287,tiffany," Glom you, Jake.",0.0
288,tiffany, What the—?!,0.0
289,tiffany," I know that vault inside and out! Every guard rotation, every camera, every deadly trap. And that safe is locked up so tight it makes me wanna spit out my guts and cry about it. Do you even have a plan, Jake?!",-0.4738
290,tiffany," Just like old times, right, Jake? When we were blood, we'd follow each other in the jaws of death on a pale horse.",-0.34
291,tiffany, The Baker's Shard is on the other side of—that. The Corridor of a Thousand Deaths.,0.0
292,tiffany," Now—ugh—, —I'm the dog, and you're the tail! Now you chase me! You chase my dreams! ",0.5538
293,tiffany," Oh crud! Jake, I love you! I love youuu!",0.8827
294,tiffany," Tiffany! Finn, I'm gonna kill you!",-0.7418
295,tiffany," Yo, Finn! I'm gonna kill you!",-0.7418
296,tiffany, Ruff! Thought so. ,0.0
297,tiffany," Yeah, I lost my teeth eating the Baker's Shard. It's a lot of sugar, right?",-0.0258
298,tiffany," See, this is a good example of why I want to kill you. You're ignorant. ,  Heed my words, Finn. As the miller's wheel forever outrages the seed, so the good apple boringly receives his neighbor's worm.",-0.6124
299,tiffany, And all the corn gets smooshed to grease—to grease under the miller's fleaping wheel.,0.0
300,tiffany, You're getting greased!,0.0
301,tiffany," Bygones? Ha! ,  That's you. Bye! ,  Gone!",0.5067
302,tiffany, Bye-gone! ,0.0
303,tiffany," Tonight, light's out. Tomorrow, your eyes out!",0.0
304,tiffany," I don't need some fancy thinger to kick butt when I've got these! ,  You know about these?",0.0
305,tiffany," You will. Anyway, I just kinda wanted your sword 'cause it's pretty cool, I guess. Whatever. I'll get it soon enough... from off your dead corpse, you chump! ",-0.5848
306,tiffany, Bullstuff.,0.0
307,tiffany, I was friends with Jake. Then some baritone herb stole him away from me.,0.4767
308,tiffany," And when that snow-white wiener dog is finally dead, Jake will be devastated.",-0.8519
309,tiffany," He'll need a shoulder to cry whiny, Finn-style tears on, and that shoulder will be mine—Tiffany's! Then I can get busy with undoing your cheesy influence, plus more! With my help, Jake will become the criminal juggernaut he was always meant to be.",-0.7202
310,tiffany, We won't just be robbing banks anymore.,0.0
311,tiffany, We'll be robbing the actual banks. The whole banks!,0.0
312,tiffany, You get it? We're gonna steal actual whole buildings.,-0.4939
313,tiffany," So don't tell me we're not so different, okay?! We're opposites, you and me. Oil and goody-goody snow-white baby-vanilla bean mitten water! Go, Tiffany! ",0.0
314,tiffany," Finn! Get in here, quick!",0.0
315,tiffany,"["" There's something moving in the walls. It was like ""]",0.3612
316,tiffany, You good?,0.4404
317,tiffany, Finn!,0.0
318,tiffany, Mm...,0.0
319,tiffany," You're right, Finn. I can't bring myself to do it...",0.0
320,tiffany," ...but I can't bring myself to save you, either.",0.4939
321,tiffany, Why are you still smiling?,0.4588
322,tiffany," Look, you're—you're on your own. I'm sorry.",-0.0772
323,tiffany," Catch you on the flip, I guess.",0.0
324,tiffany,,0.0
325,tiffany, ,0.0
326,tiffany, —daddy! ,0.0
327,finn & jake,  Tree Trunks! ,0.0
328,finn & jake,  Next to a little dancing guy every morning!,0.0
329,finn & jake,  ,0.0
330,finn & jake,  ,0.0
331,finn & jake,  Awww...,0.0
332,finn & jake,[' Ooo.'],0.0
333,finn & jake,[' To being great adventurers!'],0.6588
334,finn & jake,"["" Hahaha! Yeah! We want 'em! Give us the stuff!""]",0.8057
335,finn & jake,  Whoa!,0.0
336,finn & jake,[' Wooow!'],0.0
337,finn & jake,[' What?!'],0.0
338,finn & jake,  What?!,0.0
339,finn & jake,  ,0.0
340,finn & jake,"  Whoa, wait! ,  Aw, man!",0.0
341,finn & jake,  ,0.0
342,finn & jake,  Secret door!,0.0
343,finn & jake,[' Nice King! Yeeeaah! '],0.5242
344,finn & jake,[' Huh? '],0.0
345,finn & jake,  ,0.0
346,finn & jake,  Yeeah! We're knights! Niiice...,0.0
347,finn & jake,"[' Get ready, Ice King, for battle!']",0.4199
348,finn & jake,[' The Nice King is the Ice King!'],0.4753
349,finn & jake,  ,0.0
350,finn & jake,  Wha?,0.0
351,finn & jake,  Whoa! ,0.0
352,finn & jake,  Wha?!,0.0
353,finn & jake,  Huh! ,0.0
354,finn & jake,  Yeah!,0.3595
355,finn & jake,  Whoa! ,0.0
356,finn & jake,  Drop Ball?,-0.2732
357,finn & jake,  Whoa! ,0.0
358,finn & jake,  Huh?,0.0
359,finn & jake,  Snail attack!,-0.5255
360,finn & jake,  Aaaaaah! Oof!,0.0
361,finn & jake,  Whoa! Aaah!,0.0
362,finn & jake,  Lady time! ,0.0
363,finn & jake,  No!,-0.3595
364,finn & jake,  Aaah!,0.0
365,finn & jake,  ,0.0
366,finn & jake,  Whoa!,0.0
367,finn & jake,"  Oh, BMO!",0.0
368,finn & jake,  ,0.0
369,finn & jake,  Haha! Yeah!,0.6988
370,finn & jake,  Whoo! Awesome.,0.6588
371,finn & jake,['\xa0Ooooh.'],0.0
372,finn & jake,  Oooooo!,0.0
373,finn & jake,  Ahh!,0.0
374,finn & jake,  Yeah! The Princess Plant!,0.4184
375,finn & jake,"  Yay, hugs!",0.784
376,finn & jake,"[' ♫ Dream, dream, dream, dream, dream...♪']",0.7184
377,finn & jake,  What?!,0.0
378,finn & jake,  Whoaa.,0.0
379,finn & jake,  Heat Signature 3.,0.0
380,finn & jake,"  ""Warning. Federal law provides severe and criminal penalties for the unauthorized exhibition of copyrighted motion pictures.""",-0.7184
381,finn & jake,  Movie filming time!,0.0
382,finn & jake,"  Yeah, perfect.",0.7096
383,finn & jake,"  Yeah, look great.",0.743
384,finn & jake,  That's even better!,0.4926
385,finn & jake, King and Queen Lumpy Space!,0.0
386,finn & jake, Nothing scares us!,0.3244
387,finn & jake, NOOOOOOOO!,0.0
388,finn & jake,,0.0
389,finn & jake,  LSP!,0.0
390,finn & jake, Wha—?!,0.0
391,finn & jake,  ,0.0
392,finn & jake, Nice!,0.4753
393,finn & jake,  Ahh! ,0.0
394,finn & jake,  Whoa ,0.0
395,finn & jake,  Aah!,0.0
396,finn & jake,"  Hey/Uhhh, you sound weird!",-0.2481
397,finn & jake,"  Shh, shh, shh!!",0.0
398,finn & jake,  ,0.0
399,finn & jake,[' UGH!'],0.0
400,finn & jake," Aaaaaahhhh.... ,  ZAH!!",0.0
401,finn & jake,  Hmmm.,0.0
402,finn & jake,,0.0
403,finn & jake, AHHHhhhh...,0.0
404,finn & jake, Marceline's dad.,0.0
405,finn & jake, Tight!,0.0
406,finn & jake, Ow!,0.0
407,finn & jake, Woohoo!,0.5562
408,finn & jake, MARCELINE?!,0.0
409,finn & jake,  Marceline! ,0.0
410,finn & jake,  Your princess?,0.0
411,finn & jake," Wow! ,  Aww! She's cute.",0.8118
412,finn & jake,"  Wow, DNA?!",0.6239
413,finn & jake," Yea! ,  Yeah! Teachers! ,  Yeah, woo-hoo! ,  Teach, teaching teachers.",0.6776
414,finn & jake,"  Woow, woow, woow!",0.0
415,finn & jake," She's chilling in the garden! ,  We left her outside the garden!",-0.1739
416,finn & jake,  AAH!,0.0
417,finn & jake,  We did it!,0.0
418,finn & jake,  G'night!,0.0
419,finn & jake,  What?,0.0
420,finn & jake,  What is it?,0.0
421,finn & jake,  Show us now!,0.0
422,finn & jake,  What you said!,0.0
423,finn & jake,  Too late for take-backs! We practically know everything already! Now show us!,0.0
424,finn & jake,"[' Oh, no! ']",-0.3595
425,finn & jake, My cars are cheap.,0.0
426,finn & jake, Turn out the lights.,0.0
427,finn & jake, Another name.,0.0
428,finn & jake, Bite.,0.0
429,finn & jake, Ow!,0.0
430,finn & jake,  ,0.0
431,finn & jake,  Whoa!,0.0
432,finn & jake,  ,0.0
433,finn & jake,  ,0.0
434,finn & jake,  ,0.0
435,finn & jake,,0.0
436,finn & jake,  ,0.0
437,finn & jake,  ,0.0
438,finn & jake,  ,0.0
439,finn & jake,  ,0.0
440,finn & jake,  ,0.0
441,finn & jake,  ,0.0
442,finn & jake,  ,0.0
443,finn & jake,  ,0.0
444,finn & jake,  ,0.0
445,finn & jake, Gunther?!,0.0
446,finn & jake, WHAAAA!,0.0
447,finn & jake,  Ice King!,0.0
448,finn & jake,  Wha?!,0.0
449,finn & jake,  Bye... ,0.0
450,finn & jake,[' Ohhhh.'],0.0
451,finn & jake," Ohhhh! ,  Ahhh!",0.0
452,finn & jake,[' Throw-n-catch! Throw-n-catch!'],0.0
453,finn & jake, Woo! woo! woo!,0.88
454,finn & jake,,0.0
455,finn & jake,,0.0
456,finn & jake, Yeah! Woo hoo!,0.7081
457,finn & jake, Little Dude!,0.0
458,finn & jake,,0.0
459,finn & jake,,0.0
460,finn & jake,,0.0
461,finn & jake,,0.0
462,finn & jake,,0.0
463,finn & jake,,0.0
464,finn & jake, We did it! ,0.0
465,finn & jake,,0.0
466,finn & jake, The Ice King? Grr—eh! ,0.0
467,finn & jake,,0.0
468,finn & jake, Yeah!,0.3595
469,finn & jake,,0.0
470,finn & jake, Yeah.,0.296
471,finn & jake, Yeah! ,0.3595
472,finn & jake, Open! ,0.0
473,finn & jake,,0.0
474,finn & jake, Whatevs.,0.0
475,finn & jake," Willy! Willy! Oh, Willy!",0.0
476,finn & jake, Ancient Psychic Tandem War Elephant!,-0.636
477,finn & jake,,0.0
478,finn & jake," Yeah, boy!",0.3595
479,finn & jake, Whoo!,0.0
480,finn & jake, Ghost fly!,-0.3802
481,finn & jake," ♪Fallen ally, fallen ally, home now in the sky. Fallen ally, fallen ally, a single tear we cry.♪",-0.7579
482,finn & jake, ♪ And Prismo was his name.♪,0.0
483,finn & jake, Prismo we love you forever in our dreams!,0.8016
484,finn & jake," Pickle rama, pickle rama, pickle rama, PICKLE RAMA!",0.0
485,finn & jake," ♪ Fallen ally, fallen ally, a single tear we cry.♪",-0.6124
486,finn & jake,♪ Prismo we love you forever in our dreams! ♪,0.8016
487,finn & jake," Pickle rama, pickle rama, pickle rama, PICKLE RAMA!",0.0
488,finn & jake,,0.0
489,finn & jake,  Tree Trunks! ,0.0
490,finn & jake,  Next to a little dancing guy every morning!,0.0
491,finn & jake,  ,0.0
492,finn & jake,  ,0.0
493,finn & jake,  Awww...,0.0
494,finn & jake,[' Ooo.'],0.0
495,finn & jake,[' To being great adventurers!'],0.6588
496,finn & jake,"["" Hahaha! Yeah! We want 'em! Give us the stuff!""]",0.8057
497,finn & jake,  Whoa!,0.0
498,finn & jake,[' Wooow!'],0.0
499,finn & jake,[' What?!'],0.0
500,finn & jake,  What?!,0.0
501,finn & jake,  ,0.0
502,finn & jake,"  Whoa, wait! ,  Aw, man!",0.0
503,finn & jake,  ,0.0
504,finn & jake,  Secret door!,0.0
505,finn & jake,[' Nice King! Yeeeaah! '],0.5242
506,finn & jake,[' Huh? '],0.0
507,finn & jake,  ,0.0
508,finn & jake,  Yeeah! We're knights! Niiice...,0.0
509,finn & jake,"[' Get ready, Ice King, for battle!']",0.4199
510,finn & jake,[' The Nice King is the Ice King!'],0.4753
511,finn & jake,  ,0.0
512,finn & jake,  Wha?,0.0
513,finn & jake,  Whoa! ,0.0
514,finn & jake,  Wha?!,0.0
515,finn & jake,  Huh! ,0.0
516,finn & jake,  Yeah!,0.3595
517,finn & jake,  Whoa! ,0.0
518,finn & jake,  Drop Ball?,-0.2732
519,finn & jake,  Whoa! ,0.0
520,finn & jake,  Huh?,0.0
521,finn & jake,  Snail attack!,-0.5255
522,finn & jake,  Aaaaaah! Oof!,0.0
523,finn & jake,  Whoa! Aaah!,0.0
524,finn & jake,  Lady time! ,0.0
525,finn & jake,  No!,-0.3595
526,finn & jake,  Aaah!,0.0
527,finn & jake,  ,0.0
528,finn & jake,  Whoa!,0.0
529,finn & jake,"  Oh, BMO!",0.0
530,finn & jake,  ,0.0
531,finn & jake,  Haha! Yeah!,0.6988
532,finn & jake,  Whoo! Awesome.,0.6588
533,finn & jake,['\xa0Ooooh.'],0.0
534,finn & jake,  Oooooo!,0.0
535,finn & jake,  Ahh!,0.0
536,finn & jake,  Yeah! The Princess Plant!,0.4184
537,finn & jake,"  Yay, hugs!",0.784
538,finn & jake,"[' ♫ Dream, dream, dream, dream, dream...♪']",0.7184
